normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc normalized_ipc
0.9750312286 0.9737204711 0.9962771888 0.9778597361 0.9760564125 0.9539681888 1.000696493 0.9971365288 0.9848656233
0.8863984539 0.9934034386 1.001016267 1.020769813 1.034269085 1.012086514 0.9603174603 0.9962792402 1.011610454
1.002865964 1.006361157 1.002725442 1.018008758 1.016086758 1.021824583 0.9998244135 0.9975046211 1.011610454
0.9503358552 0.9431565776 0.9918425711 0.948547639 0.9546840945 0.9082886445 0.9995376223 0.9961294538 0.969997716
0.8863466026 0.9917074789 1.001104455 1.020775571 1.034091863 1.012101334 0.9633258416 0.9955653643 1.011615892
1.000914469 1.002068422 1.002696046 1.017026986 1.01450109 1.017235994 0.9997834434 0.99677003 1.011610454
0.9228452238 0.9092049496 0.9871601859 0.9153257268 0.9271711993 0.8724782712 0.9984431334 0.9952689783 0.9548035196
0.8863513163 0.989545941 1.001282932 1.021371545 1.033386085 1.01189499 0.9623952334 0.994961438 1.011920429
0.9995286243 1.000128688 1.002775836 1.016217959 1.012685344 1.01444408 0.9997132088 0.9961852253 1.011898676
0.8800443093 0.8761311193 0.9807518273 0.8840040192 0.8973824041 0.8436208925 0.9976003184 0.9940563452 0.9386032651
0.8864503052 0.9881900103 1.001171646 1.021406094 1.032512413 1.011004633 0.959492204 0.9939718911 1.016673374
0.9979118056 0.9985457224 1.002658251 1.015051925 1.009781395 1.012542523 0.9993737416 0.9952020524 1.016657059
0.8419807207 0.8447040754 0.9737513464 0.8483262364 0.8725775811 0.8148319151 0.9971554994 0.9932739499 0.9126741568
0.8861391972 0.9863957037 1.00136902 1.021218953 1.032512413 1.010772069 0.9592580887 0.9934970361 1.015841336
0.9971010394 0.9964689302 1.002775836 1.014481863 1.009563755 1.012466141 0.9992215667 0.9946953279 1.015825022
0.8126658653 0.814157968 0.965659009 0.8125851133 0.8553901832 0.7833980866 0.9957273962 0.9919147173 0.8891650262
0.8857856655 0.9849707209 1.001406815 1.021092272 1.03050701 1.010905451 0.9616636232 0.9924071005 1.017054044
0.9969266304 0.9951381093 1.002912318 1.01401257 1.007775992 1.012010133 0.9991337735 0.9935910511 1.016994225
0.8304225883 0.8677632687 0.9755718074 0.9464199855 0.8902375704 0.886726267 0.7574565716 0.6973580215 0.969997716
0.7554172853 0.8857994499 0.9800211232 1.001615174 0.9570594874 0.8880122119 0.7338928688 0.6969054752 1.011615892
0.8310542318 0.9008088504 0.983412178 1.003158371 0.9236609655 0.9241611718 0.7563737885 0.6975301166 1.011599578
0.8192368427 0.8409710808 0.9714269516 0.9141942412 0.8675065525 0.8612695742 0.755899705 0.6959573587 0.9548089577
0.7557236796 0.8837226577 0.9802331954 1.001727459 0.9559153191 0.8875197224 0.7337406939 0.6956338836 1.011925867
0.8297862311 0.8975906072 0.983107718 1.000040307 0.9204212281 0.9223895775 0.7562391722 0.6962601186 1.011871486
0.8049353037 0.814312812 0.9654931308 0.8841019086 0.8475768816 0.8390858847 0.7565727864 0.6948020906 0.9385978269
0.7560017912 0.8822861663 0.9801030125 1.001698668 0.9548488796 0.8873669594 0.7336294892 0.6946060934 1.016689688
0.8293572792 0.8955546186 0.9832253025 0.9967293446 0.9190034543 0.9204595201 0.7560284684 0.6952259545 1.016548296
0.7853496429 0.7882843814 0.9594228278 0.8496304678 0.8296743784 0.8181527994 0.7575268062 0.6945981261 0.9126741568
0.7555445568 0.880781669 0.9801933006 1.001445307 0.9541368836 0.8863500597 0.7335943719 0.6945248263 1.01589028
0.8292488628 0.8933083351 0.9827486651 0.9944980437 0.9169576316 0.9198461882 0.7560167627 0.6951510613 1.015732573
0.7680925782 0.7626252745 0.952460142 0.8150496213 0.8104442669 0.7971718332 0.757386337 0.6937950156 0.8890943302
0.7549411959 0.8790218884 0.9802352951 1.00082918 0.9533471587 0.8858826507 0.733389521 0.6938587545 1.017054044
0.8283108251 0.8919356644 0.9828221555 0.9926640582 0.9164601671 0.9188691893 0.7557124128 0.6944674613 1.016809328
0.6693676495 0.7742009058 0.9513430887 0.9082402665 0.8003239737 0.8061096063 0.611163787 0.5309818981 0.9548035196
0.6432110113 0.7930782663 0.9574763834 0.9708433742 0.8702830262 0.7877677912 0.594061666 0.5307237555 1.011931305
0.6687642886 0.8066951175 0.9606973604 0.975418261 0.8303552829 0.8251673552 0.6090977197 0.5310886608 1.011822542
0.6691083928 0.753314759 0.9465515178 0.8788072473 0.7847813177 0.7932501573 0.611017465 0.5305835299 0.9385978269
0.6422635462 0.7914482199 0.9573776963 0.9703999931 0.8695461569 0.7873357228 0.5941201948 0.5303955 1.016711441
0.6684767494 0.8042615565 0.9604579919 0.9694729235 0.8265869894 0.8240136529 0.6090450438 0.5307412837 1.016396028
0.668717151 0.7325646238 0.9413274037 0.84614388 0.7676871943 0.7790443423 0.6098527415 0.5303365415 0.9126741568
0.6420749959 0.7899845261 0.9573503999 0.9697349214 0.8680537635 0.7866152289 0.5938334036 0.5302329658 1.015884842
0.6681986377 0.801989117 0.9602228227 0.9655256801 0.8263662396 0.8229374721 0.6090977197 0.530573969 1.015509609
0.6645077659 0.7115979163 0.935582558 0.8134689964 0.7543458187 0.7665987214 0.6104380297 0.5294617248 0.8890290724
0.6416931816 0.7884339941 0.9574490869 0.9694700444 0.8675500807 0.7860121572 0.5938802266 0.5294441966 1.017075797
0.6679535224 0.7999342959 0.9602690167 0.9629517665 0.8240747938 0.82179631 0.6090567495 0.5298122889 1.016580925
0.5538098942 0.6931369605 0.9242713432 0.8686900968 0.727392571 0.7304588817 0.5110385354 0.4304034674 0.9385978269
0.5426712861 0.7147931421 0.9321285115 0.921469722 0.7819519885 0.7065640191 0.4993152128 0.4302329658 1.016700564
0.5535930613 0.722938143 0.9360339987 0.935862333 0.750959951 0.7417040594 0.5094524044 0.4304656128 1.016173064
0.5537344741 0.6763510396 0.9192907971 0.8382810633 0.7120364641 0.7233953049 0.510710774 0.43066161 0.9126741568
0.5421433454 0.7132143616 0.9318681457 0.9207038819 0.7795610498 0.7058845659 0.499256684 0.4305389126 1.015901156
0.5533903698 0.7208048537 0.9354586743 0.9297269751 0.7472320765 0.7410018058 0.5093587583 0.4307843075 1.015286645
0.5536354852 0.6597565811 0.9143039519 0.8076848885 0.7024322904 0.7146114349 0.5105585991 0.4305532539 0.8890345105
0.5416861109 0.711979795 0.9319332372 0.9201885233 0.7789640924 0.7056759419 0.4995317694 0.4304879215 1.017086673
0.5532819534 0.7188640732 0.9354523751 0.9247922011 0.7456806091 0.7402596514 0.5093294938 0.4307365033 1.016325332
0.4722336138 0.6257264849 0.8972331933 0.8249278066 0.6566127021 0.6647582697 0.4370990776 0.362215565 0.9126687187
0.4650592755 0.6491581407 0.906161221 0.8619674029 0.7054388414 0.6305906682 0.4309711102 0.3620864937 1.015906594
0.4720969148 0.651541482 0.9112299555 0.8919042642 0.6779290553 0.6717682654 0.4380882146 0.3622601823 1.015150691
0.472172335 0.611986177 0.892573905 0.7971733015 0.6464240076 0.6598481947 0.4391709978 0.3621342979 0.8890562631
0.4648471564 0.6479643775 0.9061297252 0.8611842882 0.7027058959 0.630111859 0.4309476986 0.362040283 1.017113864
0.4720120672 0.6499470078 0.9110976729 0.8860136297 0.6742913463 0.6713760978 0.438070656 0.3622171585 1.016156749
0.4113460133 0.5685200162 0.8714527783 0.7782461111 0.5953406233 0.6084149589 0.385066957 0.3132385748 0.8889746908
